nohup: ignoring input
Controllable intersections: 12

============================================================
Training | mode=clean rate=0.0
============================================================
Controllable intersections: 12
  Episode   1/50 | reward=-6.270/step | travel_time=890.2s | loss=0.5614 | eps=0.050
  Episode   2/50 | reward=-6.385/step | travel_time=910.8s | loss=5.6452 | eps=0.050
  Episode   3/50 | reward=-6.132/step | travel_time=862.8s | loss=9.7477 | eps=0.050
  Episode   4/50 | reward=-6.292/step | travel_time=890.9s | loss=12.0935 | eps=0.050
  Episode   5/50 | reward=-6.928/step | travel_time=929.1s | loss=10.0366 | eps=0.050
  Episode   6/50 | reward=-6.659/step | travel_time=927.3s | loss=12.5517 | eps=0.050
  Episode   7/50 | reward=-6.574/step | travel_time=921.6s | loss=12.3506 | eps=0.050
  Episode   8/50 | reward=-6.402/step | travel_time=867.5s | loss=11.6463 | eps=0.050
  Episode   9/50 | reward=-5.936/step | travel_time=831.1s | loss=10.6497 | eps=0.050
  Episode  10/50 | reward=-6.172/step | travel_time=868.6s | loss=8.8310 | eps=0.050
  Episode  11/50 | reward=-6.758/step | travel_time=919.0s | loss=12.5181 | eps=0.050
  Episode  12/50 | reward=-6.315/step | travel_time=862.0s | loss=11.9552 | eps=0.050
  Episode  13/50 | reward=-6.604/step | travel_time=891.3s | loss=12.0684 | eps=0.050
  Episode  14/50 | reward=-6.522/step | travel_time=906.0s | loss=10.8457 | eps=0.050
  Episode  15/50 | reward=-5.783/step | travel_time=868.7s | loss=11.2852 | eps=0.050
  Episode  16/50 | reward=-5.965/step | travel_time=863.4s | loss=11.2954 | eps=0.050
  Episode  17/50 | reward=-5.953/step | travel_time=830.7s | loss=12.4805 | eps=0.050
  Episode  18/50 | reward=-6.333/step | travel_time=870.9s | loss=10.9559 | eps=0.050
  Episode  19/50 | reward=-6.327/step | travel_time=841.5s | loss=9.7428 | eps=0.050
  Episode  20/50 | reward=-6.213/step | travel_time=849.5s | loss=11.3180 | eps=0.050
  Episode  21/50 | reward=-6.302/step | travel_time=847.5s | loss=10.8469 | eps=0.050
  Episode  22/50 | reward=-6.187/step | travel_time=875.1s | loss=11.3277 | eps=0.050
  Episode  23/50 | reward=-6.693/step | travel_time=920.5s | loss=10.8430 | eps=0.050
  Episode  24/50 | reward=-6.894/step | travel_time=913.7s | loss=11.7505 | eps=0.050
  Episode  25/50 | reward=-5.990/step | travel_time=823.4s | loss=11.6287 | eps=0.050
  Episode  26/50 | reward=-6.594/step | travel_time=883.7s | loss=11.9762 | eps=0.050
  Episode  27/50 | reward=-6.380/step | travel_time=897.4s | loss=12.4607 | eps=0.050
  Episode  28/50 | reward=-6.628/step | travel_time=909.7s | loss=14.2099 | eps=0.050
  Episode  29/50 | reward=-7.018/step | travel_time=941.8s | loss=13.8922 | eps=0.050
  Episode  30/50 | reward=-7.043/step | travel_time=920.2s | loss=12.8806 | eps=0.050
  Episode  31/50 | reward=-6.279/step | travel_time=849.6s | loss=14.4934 | eps=0.050
  Episode  32/50 | reward=-6.191/step | travel_time=861.8s | loss=13.8804 | eps=0.050
  Episode  33/50 | reward=-6.755/step | travel_time=891.2s | loss=11.1811 | eps=0.050
  Episode  34/50 | reward=-6.447/step | travel_time=875.1s | loss=11.0224 | eps=0.050
  Episode  35/50 | reward=-6.405/step | travel_time=877.6s | loss=10.1074 | eps=0.050
  Episode  36/50 | reward=-6.249/step | travel_time=891.4s | loss=10.1391 | eps=0.050
  Episode  37/50 | reward=-6.222/step | travel_time=906.6s | loss=12.9346 | eps=0.050
