nohup: ignoring input
Controllable intersections: 12

============================================================
Training | mode=clean rate=0.0
============================================================
Controllable intersections: 12
  Episode   1/100 | reward=-6.716/step | travel_time=897.3s | loss=0.0012 | eps=0.050
  Episode   2/100 | reward=-9.413/step | travel_time=1059.4s | loss=0.0044 | eps=0.050
  Episode   3/100 | reward=-8.926/step | travel_time=1057.9s | loss=0.0065 | eps=0.050
  Episode   4/100 | reward=-8.386/step | travel_time=1016.4s | loss=0.0071 | eps=0.050
  Episode   5/100 | reward=-8.403/step | travel_time=1016.7s | loss=0.0066 | eps=0.050
  Episode   6/100 | reward=-8.230/step | travel_time=1004.8s | loss=0.0073 | eps=0.050
  Episode   7/100 | reward=-7.592/step | travel_time=934.6s | loss=0.0056 | eps=0.050
  Episode   8/100 | reward=-7.873/step | travel_time=964.1s | loss=0.0054 | eps=0.050
  Episode   9/100 | reward=-8.295/step | travel_time=1004.7s | loss=0.0043 | eps=0.050
  Episode  10/100 | reward=-8.255/step | travel_time=1004.7s | loss=0.0059 | eps=0.050
  Episode  11/100 | reward=-8.247/step | travel_time=1007.7s | loss=0.0050 | eps=0.050
  Episode  12/100 | reward=-8.670/step | travel_time=1067.3s | loss=0.0050 | eps=0.050
  Episode  13/100 | reward=-8.666/step | travel_time=1037.4s | loss=0.0055 | eps=0.050
  Episode  14/100 | reward=-8.675/step | travel_time=1046.3s | loss=0.0057 | eps=0.050
  Episode  15/100 | reward=-8.730/step | travel_time=1041.7s | loss=0.0048 | eps=0.050
  Episode  16/100 | reward=-8.684/step | travel_time=1043.7s | loss=0.0054 | eps=0.050
  Episode  17/100 | reward=-7.935/step | travel_time=970.7s | loss=0.0050 | eps=0.050
  Episode  18/100 | reward=-7.337/step | travel_time=887.3s | loss=0.0046 | eps=0.050
  Episode  19/100 | reward=-7.557/step | travel_time=921.0s | loss=0.0043 | eps=0.050
  Episode  20/100 | reward=-8.398/step | travel_time=1023.0s | loss=0.0049 | eps=0.050
  Episode  21/100 | reward=-7.967/step | travel_time=1012.4s | loss=0.0044 | eps=0.050
  Episode  22/100 | reward=-8.043/step | travel_time=986.7s | loss=0.0048 | eps=0.050
  Episode  23/100 | reward=-8.582/step | travel_time=1006.5s | loss=0.0053 | eps=0.050
  Episode  24/100 | reward=-7.874/step | travel_time=997.5s | loss=0.0054 | eps=0.050
  Episode  25/100 | reward=-7.924/step | travel_time=1004.1s | loss=0.0039 | eps=0.050
  Episode  26/100 | reward=-7.665/step | travel_time=974.4s | loss=0.0046 | eps=0.050
  Episode  27/100 | reward=-7.987/step | travel_time=991.5s | loss=0.0057 | eps=0.050
  Episode  28/100 | reward=-7.875/step | travel_time=957.4s | loss=0.0051 | eps=0.050
  Episode  29/100 | reward=-8.136/step | travel_time=1009.6s | loss=0.0051 | eps=0.050
